label,area,centroid-0,centroid-1,avi_mean,bira_mean,biotin_mean,bbox-0,bbox-1,bbox-2,bbox-3,avi_outside_mean,bira_outside_mean,biotin_outside_mean,sample,sample_short,biotin_ratio,avi_ratio,bira_ratio,condition
36,866.0,247.48267898383372,562.2898383371825,229.6339491916859,1087.717090069284,839.9353348729792,224,545,264,583,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.051068896284233,0.6237029624784938,1.0123903170672037,"S4
(Avi only)"
37,1044.0,275.2605363984674,523.2749042145593,662.8850574712644,1131.2040229885058,905.911877394636,256,506,293,543,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.1336298850291278,1.8004453417401025,1.0528656853484604,"S4
(Avi only)"
38,1313.0,290.23305407463823,825.0868240670221,140.9086062452399,1083.7578065498858,813.0700685453161,271,803,310,847,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0174505394238573,0.38271830216406727,1.008705222538343,"S4
(Avi only)"
39,2256.0,362.7105496453901,617.3062943262412,139.73980496453902,1085.0328014184397,824.4423758865248,336,589,391,648,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0316814903424028,0.3795437505618855,1.0098919212406243,"S4
(Avi only)"
40,2135.0,368.93395784543327,574.9929742388758,206.06697892271663,1081.640281030445,829.7269320843092,340,545,397,605,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0382944192424557,0.5596933104861006,1.0067343402642694,"S4
(Avi only)"
41,1740.0,403.00344827586207,227.64885057471264,178.96954022988507,1075.078735632184,816.0218390804598,383,202,425,255,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0211442930613646,0.48609464248518325,1.0006271961485387,"S4
(Avi only)"
42,1424.0,415.1790730337079,637.6053370786517,174.25842696629215,1083.6755617977528,834.4599719101124,393,610,434,662,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0442171977460277,0.4732989068832934,1.0086286734140817,"S4
(Avi only)"
43,2579.0,506.002326483133,57.65723148507173,219.426909654905,1084.9492051182629,830.1291198138814,475,33,540,86,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0387977044305763,0.5959798805054914,1.0098141141659591,"S4
(Avi only)"
44,33953.0,588.0096898654022,606.9371778635173,13669.285482873383,1155.2660442376225,1246.1539186522546,495,486,682,723,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.559398169712878,37.12680063484739,1.0752613593192715,"S4
(Avi only)"
45,2760.0,594.9210144927537,92.95,122.5054347826087,1074.3286231884058,819.7119565217391,569,60,628,130,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0257619910020652,0.3327339135288248,0.999929030622111,"S4
(Avi only)"
47,3260.0,623.908282208589,139.1628834355828,162.18159509202454,1077.489263803681,825.2539877300613,591,100,656,176,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0326971161045053,0.44049732922524504,1.0028707900040752,"S4
(Avi only)"
48,895.0,698.8011173184358,36.97430167597766,201.52290502793295,1082.336312849162,810.6,684,19,714,57,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.014359572641201,0.5473512662897873,1.0073821703664836,"S4
(Avi only)"
49,2914.0,735.5950583390528,188.58476321207962,122.08064516129032,1067.1458476321209,812.0483870967741,704,158,773,219,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0161720391061688,0.33158015318032674,0.9932436778872499,"S4
(Avi only)"
50,2264.0,743.5843639575971,79.94302120141343,175.33348056537102,1078.7588339222614,828.4779151943463,718,50,771,109,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.036731438439687,0.4762188327780876,1.0040524396321109,"S4
(Avi only)"
51,3365.0,757.2588410104012,331.1809806835067,122.73046062407133,1075.955720653789,823.3898959881129,726,300,797,366,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.030364449804571,0.33334510052642896,1.001443448050979,"S4
(Avi only)"
52,2348.0,787.473594548552,160.17887563884156,149.57751277683136,1073.7572402044293,821.1179727427598,757,134,818,190,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0275214358738651,0.40626369997756495,0.9993972171518658,"S4
(Avi only)"
53,718.0,812.733983286908,356.3022284122563,171.5208913649025,1082.6044568245125,823.7632311977716,793,337,835,377,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0308316298486386,0.465863555662417,1.007631744788641,"S4
(Avi only)"
54,1626.0,830.0,309.75645756457567,170.05535055350555,1072.9526445264453,844.4268142681427,801,285,855,329,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0566893935946262,0.4618830373247804,0.9986483414736385,"S4
(Avi only)"
55,1497.0,848.8256513026053,223.82832331329325,178.5424181696727,1082.2992651970608,820.5551102204408,829,196,873,248,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0268170872585245,0.4849345470583873,1.0073476883448258,"S4
(Avi only)"
56,931.0,854.1707841031149,269.17722878625136,181.81310418904403,1086.9312567132115,830.1267454350161,837,253,871,288,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0387947332068763,0.49381797464738053,1.0116589043793094,"S4
(Avi only)"
57,2041.0,878.5957863792258,197.86918177364038,159.37922586967173,1074.3826555609994,806.7711905928467,854,166,899,230,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.009568319897598,0.43288588504596565,0.9999793211354452,"S4
(Avi only)"
58,1815.0,932.5575757575757,221.52561983471074,294.10964187327824,1079.1829201101928,817.7845730027548,910,197,964,247,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0233501233452273,0.7988237609271321,1.0044471569296358,"S4
(Avi only)"
59,2099.0,965.9414006669842,256.50452596474514,214.67317770366842,1071.1467365412102,829.5231062410671,946,223,990,288,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0380393579357148,0.5830683893638224,0.9969674965421224,"S4
(Avi only)"
3,45802.0,298.1737697043797,444.23601589450243,824.3735644731671,1126.455373127811,903.424937775643,153,339,458,537,246.53511684109068,1088.3642737607852,807.2287300958548,SampleSample5,S5,1.1191684637740351,3.3438382938546405,1.0349984837662891,"S5
(2° Ab control)"
4,37980.0,368.3084254870985,282.167430226435,777.2102159031069,1117.936598209584,884.8287256450764,246,178,490,386,246.53511684109068,1088.3642737607852,807.2287300958548,SampleSample5,S5,1.0961313598687288,3.152533504604433,1.0271713480144045,"S5
(2° Ab control)"
5,36211.0,524.8301344895198,557.3689210460909,810.8709232001326,1118.6907569523073,887.901908259921,413,457,640,664,246.53511684109068,1088.3642737607852,807.2287300958548,SampleSample5,S5,1.0999384377145331,3.2890686470552435,1.027864276623791,"S5
(2° Ab control)"
6,34072.0,624.4112467715427,801.0117691946466,872.5339868513736,1123.9799248649917,889.4918114580887,510,715,740,904,246.53511684109068,1088.3642737607852,807.2287300958548,SampleSample5,S5,1.1019080197411526,3.539187431110609,1.0327240170987408,"S5
(2° Ab control)"
7,29356.0,735.9355838670118,605.8978062406322,733.5794045510288,1122.8881659626652,885.433574056411,662,482,813,742,246.53511684109068,1088.3642737607852,807.2287300958548,SampleSample5,S5,1.0968806498639732,2.975557453844892,1.0317208980800008,"S5
(2° Ab control)"
8,16683.0,835.4815081220404,339.91434394293594,944.5096805130971,1118.2537313432836,880.8406761373853,758,267,907,412,246.53511684109068,1088.3642737607852,807.2287300958548,SampleSample5,S5,1.0911909391936403,3.8311364831724983,1.0274627331152804,"S5
(2° Ab control)"
